mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	13	42	44	2.0		1/2	1/2	4/4	3	2	1/2		1/2	1		8	32	G#1	1	241
13	13	42	44	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		8	44	G#2	2	237
13	13	42	44	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	233
13	13	42	44	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		8	68	G#4	4	230
13	13	43	45	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		12	72	B#4	4	225
14	14	44	46	2.0		0	0	4/4	3	2	1/2		1/2	1		7	37	C#2	2	257
14	14	44	46	2.0		0	0	4/4	2	2	1/2		1/2	1		7	49	C#3	3	254
14	14	44	46	1.0		0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	249
14	14	44	46	1.0		0	0	4/4	1	2	1/4		1/4	1		8	68	G#4	4	245
14	14	44	46	2.0		0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	242
14	14	45	47	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	250
14	14	45	47	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	246
14	14	91/2	95/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		12	60	B#3	3	251
14	14	91/2	95/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	247
14	14	46	48	1.5		1/2	1/2	4/4	2	1	3/8		1/4	3/2		7	61	C#4	4	252
14	14	46	48	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1	1	4	64	E4	4	248
14	14	47	49	0.5		3/4	3/4	4/4	3	2	1/8		1/8	1		7	49	C#3	3	258
14	14	47	49	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	61	C#4	4	255
14	14	47	49	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5	243
14	14	95/2	99/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		8	44	G#2	2	259
14	14	95/2	99/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		8	56	G#3	3	256
14	14	95/2	99/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	253
14	14	95/2	99/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	244
15	15	48	50	0.5		0	0	4/4	3	2	1/8		1/8	1		3	45	A2	2	277
15	15	48	50	0.5		0	0	4/4	2	2	1/8		1/8	1		3	57	A3	3	272
15	15	48	50	2.0		0	0	4/4	2	1	1/2		1/2	1		7	61	C#4	4	270
15	15	48	50	1.0		0	0	4/4	1	2	1/4		1/4	1	-1	4	64	E4	4	265
15	15	48	50	1.0		0	0	4/4	1	1	1/4		1/4	1		7	73	C#5	5	260
15	15	97/2	101/2	0.5		1/8	1/8	4/4	3	2	1/8		1/8	1		5	47	B2	2	278
