mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	241	-lig											
15	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	242	ist											
15	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	243												
15	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	244	un-											
15	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	245	-ser											
15	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	246												
15	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	247												
15	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	248												
15	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	249												
15	11	89/2	89/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	250												
15	11	179/4	179/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	251												
15	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	252												
15	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	253												
15	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	254												
15	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	255												
15	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	256												
15	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	257												
15	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	258												
15	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	259												
15	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	260												
