mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
9	7	15	7a	45	25	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	107	31.12	31.76
9	7	15	7a	45	25	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	103	31.12	31.76
9	7	15	7a	45	25	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	99	31.12	31.76
9	7	15	7a	45	25	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	76	E5	5	95	31.12	32.26
9	7	15	7a	46	26	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	108	31.76	32.34
9	7	15	7a	46	26	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	104	31.76	32.34
9	7	15	7a	46	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	100	31.76	32.34
9	7	15	7a	93/2	53/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	96	32.26	32.34
9	7	15	7a	47	27	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	109	32.34	33.02
9	7	15	7a	47	27	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	66	F#4	4	105	32.34	33.02
9	7	15	7a	47	27	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	101	32.34	33.02
9	7	15	7a	47	27	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	97	32.34	33.02
9	7	15	7a	48	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	106	33.02	34.02
9	7	15	7a	48	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4	110	33.02	34.02
9	7	15	7a	48	28	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	102	33.02	34.02
9	7	15	7a	48	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	98	33.02	34.02
10	8	16	8a	49	29	1.0	0	0	4/4	2	2	1/4	1/4	1		7	61	C#4	4	127	34.02	34.72
10	8	16	8a	49	29	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	121	34.02	34.72
10	8	16	8a	49	29	1.0	0	0	4/4	1	2	1/4	1/4	1		10	70	A#4	4	116	34.02	34.72
10	8	16	8a	49	29	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	111	34.02	34.72
10	8	16	8a	50	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	128	34.72	35.42
10	8	16	8a	50	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	122	34.72	35.42
10	8	16	8a	50	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	117	34.72	35.42
10	8	16	8a	50	30	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	112	34.72	35.42
10	8	16	8a	51	31	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	129	35.42	35.64
10	8	16	8a	51	31	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	67	G4	4	123	35.42	35.64
10	8	16	8a	51	31	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4	118	35.42	35.64
10	8	16	8a	51	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	113	35.42	36.14
10	8	16	8a	103/2	63/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	130	35.64	36.14
10	8	16	8a	103/2	63/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	124	35.64	36.14
10	8	16	8a	103/2	63/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	119	35.64	36.14
10	8	16	8a	52	32	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	131	36.14	36.74
10	8	16	8a	52	32	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	125	36.14	36.32
10	8	16	8a	52	32	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	114	36.14	36.32
10	8	16	8a	52	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	120	36.14	36.74
10	8	16	8a	105/2	65/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	126	36.32	36.74
10	8	16	8a	105/2	65/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	115	36.32	36.74
11	9	17	9a	53	33	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	141	36.74	37.2
11	9	17	9a	53	33	1.5	0	0	4/4	2	1	3/8	1/4	3/2		6	66	F#4	4	138	36.74	38.16
11	9	17	9a	53	33	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	135	36.74	37.6
11	9	17	9a	53	33	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	132	36.74	37.6
11	9	17	9a	107/2	67/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	142	37.2	37.6
11	9	17	9a	54	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	143	37.6	39.0
11	9	17	9a	54	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	136	37.6	39.0
11	9	17	9a	54	34	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	133	37.6	39.0
