mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
9	8	30	30	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	6				
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	150												
9	8	31	31	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	151												
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	152												
9	8	32	32	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	6				
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	153												
9	8	65/2	65/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	6	5			
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	154												
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	155												
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	156												
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	157												13
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	158												
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	159												
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	160												14
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	161												
10	8	33	33	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0						
10	8	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	162	zu,											
10	8	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	163	bringt											
10	8	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0						
10	8	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164	Men-											
10	8	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165	-schen,											
10	8	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	166												
10	8	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	167												
10	8	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	168												
10	8	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	169												
10	8	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	170												
10	8	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	171												
10	8	35	35	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6				
10	8	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	172												
10	8	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	173												
10	8	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	174												
10	8	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	175												
10	8	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	176												
10	8	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	177												
10	8	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	178												
11	8	37	37	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0						
